Month,Channel,Campaign,Spend ($),Impressions,Clicks,Leads,MQLs,SQLs,Pipeline ($),Revenue ($),CPM,CTR,CPC,CPL,L_T_MQL,MQL_T_SQL,CPMQL,CPSQL,CPR,ROI,ROAS,PROI,Win Rate
1/1/2025,Email,Nurture Stream,$0 ,"72,221",794,119,59,23,92000,"$57,500",$0.00,1.10%,$0.00,$0.00,49.6%,39.0%,$0.00,$0.00,$0.00,0%,0%,0%,62.5%
2/1/2025,Email,Nurture Stream,$0 ,"122,667","1,349",202,101,40,160000,"$100,000",$0.00,1.10%,$0.00,$0.00,50.0%,39.6%,$0.00,$0.00,$0.00,0%,0%,0%,62.5%
3/1/2025,Email,Nurture Stream,$0 ,"64,253",706,105,52,20,80000,"$50,000",$0.00,1.10%,$0.00,$0.00,49.5%,38.5%,$0.00,$0.00,$0.00,0%,0%,0%,62.5%
1/1/2025,Email,Product Launch,$0 ,"94,244","1,225",183,91,36,144000,"$90,000",$0.00,1.30%,$0.00,$0.00,49.7%,39.6%,$0.00,$0.00,$0.00,0%,0%,0%,62.5%
2/1/2025,Email,Product Launch,$0 ,"108,093","1,405",210,105,42,168000,"$105,000",$0.00,1.30%,$0.00,$0.00,50.0%,40.0%,$0.00,$0.00,$0.00,0%,0%,0%,62.5%
3/1/2025,Email,Product Launch,$0 ,"89,279","1,160",174,87,34,136000,"$85,000",$0.00,1.30%,$0.00,$0.00,50.0%,39.1%,$0.00,$0.00,$0.00,0%,0%,0%,62.5%
1/1/2025,Paid Search,Brand Search,"$6,694 ","81,919","1,064",159,79,31,124000,"$77,500",$81.71,1.30%,$6.29,$42.10,49.7%,39.2%,$84.73,$215.94,$0.09,1058%,1158%,1852%,62.5%
2/1/2025,Paid Search,Brand Search,"$10,127 ","95,398","1,240",186,93,37,148000,"$92,500",$106.16,1.30%,$8.17,$54.45,50.0%,39.8%,$108.89,$273.70,$0.11,813%,913%,1461%,62.5%
3/1/2025,Paid Search,Brand Search,"$8,873 ","92,296","1,199",179,89,35,140000,"$87,500",$96.14,1.30%,$7.40,$49.57,49.7%,39.3%,$99.70,$253.51,$0.10,886%,986%,1578%,62.5%
1/1/2025,Paid Search,Non-Brand Search,"$9,365 ","106,510","1,278",191,95,38,152000,"$95,000",$87.93,1.20%,$7.33,$49.03,49.7%,40.0%,$98.58,$246.45,$0.10,914%,1014%,1623%,62.5%
2/1/2025,Paid Search,Non-Brand Search,"$9,356 ","94,024","1,128",169,84,33,132000,"$82,500",$99.51,1.20%,$8.29,$55.36,49.7%,39.3%,$111.38,$283.52,$0.11,782%,882%,1411%,62.5%
3/1/2025,Paid Search,Non-Brand Search,"$11,543 ","53,962",647,97,48,19,76000,"$47,500",$213.91,1.20%,$17.84,$119.00,49.5%,39.6%,$240.48,$607.53,$0.24,312%,412%,658%,62.5%
1/1/2025,Paid Social,Facebook Prospecting,"$6,806 ","111,749","1,117",167,83,33,132000,"$82,500",$60.90,1.00%,$6.09,$40.75,49.7%,39.8%,$82.00,$206.24,$0.08,1112%,1212%,1939%,62.5%
2/1/2025,Paid Social,Facebook Prospecting,"$5,092 ","73,028",730,109,54,21,84000,"$52,500",$69.73,1.00%,$6.98,$46.72,49.5%,38.9%,$94.30,$242.48,$0.10,931%,1031%,1650%,62.5%
3/1/2025,Paid Social,Facebook Prospecting,"$11,798 ","108,443","1,084",162,81,32,128000,"$80,000",$108.79,1.00%,$10.88,$72.83,50.0%,39.5%,$145.65,$368.69,$0.15,578%,678%,1085%,62.5%
1/1/2025,Paid Social,LinkedIn Paid Ads,"$6,217 ","60,894",669,100,50,20,80000,"$50,000",$102.10,1.10%,$9.29,$62.17,50.0%,40.0%,$124.34,$310.85,$0.12,704%,804%,1287%,62.5%
2/1/2025,Paid Social,LinkedIn Paid Ads,"$8,893 ","120,286","1,323",198,99,39,156000,"$97,500",$73.93,1.10%,$6.72,$44.91,50.0%,39.4%,$89.83,$228.03,$0.09,996%,1096%,1754%,62.5%
3/1/2025,Paid Social,LinkedIn Paid Ads,"$6,869 ","93,637","1,030",154,77,30,120000,"$75,000",$73.36,1.10%,$6.67,$44.60,50.0%,39.0%,$89.21,$228.97,$0.09,992%,1092%,1747%,62.5%
2/1/2025,Paid Social,Reddit Prospecting,"$2,478 ","149,280",985,98,49,34,119000,"$71,400",$16.60,0.66%,$2.52,$25.29,50.0%,69.4%,$50.57,$72.88,$0.03,2781%,2881%,4802%,60.0%
3/1/2025,Paid Social,Reddit Prospecting,"$3,249 ","289,432","1,910",190,95,67,234500,"$140,700",$11.23,0.66%,$1.70,$17.10,50.0%,70.5%,$34.20,$48.49,$0.02,4231%,4331%,7218%,60.0%
